Assigned to,,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,z_par_median,z_k_median,z_par_q1,z_par_top1pc,z_kq5_cond_parq1,z_ktop1pc_cond_parq1,z_mr_kq5_pq1,z_mr_ktop1_pq1,z_trend_parq1,z_trend_bottom40,z_count,dis^2_to_1,dis^2_to_2,dis^2_to_3,dis^2_to_4,dis^2_to_5,min_dis^2
1,52,Long Island University System,New York,NY,59000,39900,18.595896,1.504786,29.769798,1.2805028,5.5359607,0.23812096,-5.608592,-10.476321,1677,-0.656827273,0.233206985,0.689778162,-0.007421836,0.730460877,0.194528833,2.821373202,1.769200197,-1.186746851,-1.323958418,-0.001604346,16.6665637,18.3746246,52.05392066,22.23587768,27.01226784,16.6665637
1,54,Saint Peter's University,Newark,NJ,59700,45500,20.468721,0.37753019,26.85788,0.70686686,5.4974651,0.14468661,-8.1598988,-8.7430429,447.6666667,-0.632234183,0.669127185,0.902012105,-0.403694792,0.521153149,-0.077920659,2.792086912,0.87141161,-1.742916252,-1.085474419,-0.054493118,13.77373319,19.40806981,60.58149614,21.29579904,25.79239521,13.77373319
1,57,New Jersey City University,Newark,NJ,51600,41200,20.409746,0.0940018,26.058468,0,5.3184671,0,0.95113039,2.3650267,783.6666667,-0.916811363,0.334402745,0.895328887,-0.503365721,0.463691672,-0.413648433,2.655910637,-0.518847829,0.243232825,0.442899398,-0.040037618,9.863177273,21.33879558,68.45746173,17.35079008,15.20406592,9.863177273
1,58,Texas A&M University - Kingsville,Corpus Christi,TX,47700,39800,25.405338,0.29822475,20.836184,0.63951749,5.2935028,0.16247159,-7.5371594,-7.1099868,823,-1.053830006,0.225422695,1.461443813,-0.431573647,0.08831558,-0.109908372,2.636918551,1.04230328,-1.607162841,-0.860780095,-0.038345407,10.37071292,23.95711645,66.5056316,22.22440473,24.32890777,10.37071292
1,60,Sul Ross State University,Alpine,TX,45000,37100,23.651514,0.12868352,22.195349,1.4832546,5.2495365,0.3508122,-4.3597102,-2.4164248,285.3333333,-1.148689066,0.015246885,1.262695408,-0.491173787,0.186011923,0.29082619,2.603470317,2.852023688,-0.914498197,-0.214986764,-0.061477074,16.94864996,26.17459412,56.12575793,29.33370947,28.38808037,16.94864996
1,61,Tuskegee University,Auburn,AL,54400,38900,18.653946,0.16463323,28.048244,0,5.2321043,0,-3.1784654,-1.9533306,522.6666667,-0.818439005,0.155364092,0.696356556,-0.478536107,0.60671613,-0.413648433,2.590208425,-0.518847829,-0.656993998,-0.151269028,-0.051266444,8.491589923,19.24812094,67.90052988,14.88233666,16.09877882,8.491589923
1,65,CUNY Medgar Evers College,New York,NY,35100,30900,30.484688,0.13676974,16.55872,0.002874201,5.047874,0.000876191,-4.0861492,-7.6234331,284,-1.496505619,-0.467379051,2.037050438,-0.488331176,-0.219147154,-0.412283326,2.450051574,-0.510428717,-0.854863559,-0.931425843,-0.061534437,6.660688636,31.8008172,86.01653672,20.99993842,20.81715239,6.660688636
1,66,SUNY College At Old Westbury,New York,NY,48400,39200,20.588211,0.38401425,24.483013,0,5.0406141,0,-8.2117538,-17.49811,251,-1.029236916,0.17871696,0.915553057,-0.4014154,0.350448474,-0.413648433,2.444528461,-0.518847829,-1.754220327,-2.290095546,-0.062954174,13.24375308,25.40325214,79.53583914,19.88868029,26.20256329,13.24375308
1,68,Dillard University,New Orleans,LA,42600,36700,24.772984,0.15893224,20.298244,0.19254729,5.0284805,0.047699708,4.4289274,7.6223145,414.1666667,-1.23300823,-0.015890273,1.38978363,-0.480540221,0.049648626,-0.322197728,2.435297585,-0.060512609,1.00137147,1.166256498,-0.055934365,10.49114965,27.49908039,71.73167524,21.5399341,15.06435021,10.49114965
1,70,Kingsborough Commmunity College/CUNY,New York,NY,40700,31300,27.10601,0.16059734,18.359835,0.60465872,4.9766188,0.16389886,-1.9705111,-1.0987346,1624.666667,-1.299760902,-0.436241894,1.654168881,-0.479954875,-0.089683588,-0.126464612,2.395842769,1.05601758,-0.393667291,-0.033684047,-0.003855848,7.009244886,25.7340005,67.67645326,20.32841096,17.83987163,7.009244886
